Aplicație,Website oficial,Email public
GPT-Live,,
Aura: Agents + Git + Intent Open Source,,
Monogram AI,,
Tasks.txt,,
ChatCut,https://chatcut.io,
Sim,https://sim.ai,
PlugThis,https://plugthis.ai,
Scarlett.,,
ConnectMachine 2.0,,
GPT-5.6,,
Juicy - Mac Battery App,,
Native SDK,,
Ship OS by Notion,,
StoryChief Connect,,
Effects SDK,,
Cloudflare Drop,,
San Fran Sim,,
ChatGPT Work,,
Kickbacks CLI,,
Miora,https://miora.design,
JustVibe,,
FetchSandbox,,
Second Brain for AI v2,,
ServiceBeard,,
AgentKey,https://agentkey.app,
Osaurus,https://osaurus.ai,
AI Media Buyer By Creatify,,
Loomal,,
Playground,,
Knockoff,,
Marked QL,,
SpeechifyAI Simba Voice Agents,,
UnitPay,,
Fudge MCP,,
ClawTeams,https://clawteams.ai,
Pazi,https://pazi.ai,support@pazi.ai
Goose Ads Remixer,https://gooseworks.ai,
PgDog,,
Agentcard for companies,,
Portero,,
Claude Overlay,,
Branda,,
BugShot,,
Animos App,,
V2Fun,https://v2fun.ai,
Velo 3.0,https://usevelo.ai,
Campus,,
Agently,,
Crustdata Recruiter,,
Flodesk Studio,,
YAGNI,,
Tiptap AI Toolkit,,
RecordMeeting,,
CodeNearby 2.0,,
Paradigm,https://paradigm.study,
Zro,https://zro.moonmath.ai,
Albato AI,,
Codex Micro,,
River,,
Nitrosend,,
The Eureka Database,,
Manta AI,,
Nuvio,,
In Parallel MCP,,
Unabyss for Claude,https://unabyss.com,
Pebbles Ai,https://trypebbles.ai,
Kimi K3,https://kimi.ai,
Pocket Screen,,
Timely,,
ZooData,,
Clark,,
LiveDemo,,
Mirage,,
OpenMarkdown,,
Acebuilder,,
Mainichi,,
WX,,
DocuSmart AI,,
OpenSEO,https://openseo.so,ben@openseo.so
Spycost,,
Kobbe,,
BaseRT,,
Rewisp,,
Fuzzy AI,https://getfuzzy.ai,
Nautis,https://getnautis.com,
Loova Ads Studio,,
Replay QA,https://qa.replay.io,
Skippr AI,,
Inkling,,
Creed,,
LayerProof Mylar,,
Backdrop,,
Scriptyard,,
Lev8,https://lev8.com,
CartAI,https://cartai.ai,
ditto.site,,
Rerun,,
Phantomstory,,
Routine AI,,
Jockey by TwelveLabs,,
CreateOS Sandbox,,
Skim,,
Bolna Agent Studio,,
Humalike x Hermes,https://humalike.ai,
Migma AI,,
Kastra,,
box,,
ACME.BOT,,
Gemini 3.6 Flash Family,,
MonoCloud for Startups,,
Trovio For Brands,,
Light Flip,,
Arkor,,
Teable 3.0,https://teable.ai,
PromptQL,https://promptql.io,
PodcastorAI,,
CrawlRaven,,
AskCodi,,
RunEvr,,
Moxie Docs: Knowledgebases,,
Wispro,,
Quaso,,
canitbebuilt,,
Fedica 2.0,,
Pushary,,
Fluree AI,,
The new Firecrawl /search,,
YC has it,,
HarnessRouter,,
MinkNote,,
Buzz,,
Freesolo Flash,,
HealthyNotch,,
Heard,,
FluentDB,,
Second Brain for Mac and Windows,,
OpenComputer,,
Capsomnia,,
Health in ChatGPT,,
Islet,,
Speechius,,
Wisprkey,,
ShellMate,https://shellmate.net,
TouchGrass,,
Athena by Shoplazza,,
Openbase,,
SF Apartment Finder,,
Aymo AI,,
PureBox.ai,,
BrainFeed,,
Forgeon,,
Yoggi,,
Pulse Island,,
Adomate,https://adomate.com,
Artifacts by Databox,https://databox.com,hello@databox.com
Claude Opus 5,,
Webhound,,
Robynn AI,,
superfile,,
Grok 4.5,,
Rescript,,
Estera,,
AI YC interview with Gstack agents,,
Prefactor,https://prefactor.tech,
Cekura,,
Lottie Creator 2.0,,
Leaping AI,,
Hardbook,,
Ycode AI Agents,,
EasyCircuit,,
Jotform Website Widgets,,
Firstpass,,
FlowTask 2.0,,
Prelint,https://prelint.com,hello@prelint.com
SoundGate Guitar,https://soundgate.ai,
Denovo,,
/mission for Claude Code,,
ClinicFrame,,
MemoryCustodian,,
Totem,,
Bo AI,,
Task Monki,,
Vela,,
SKI,https://heyski.io,
Memmy Agent,https://memmy.bot,
AI Search Console,https://search-console.ai,
Claude Code usage tracking by LangWatch,,
NINA,,
Pally,,
Greplica,,
Expert Chase for iOS & Android,,
Focus Room,,
agentOS,,
MiniMax H3,,
Cleanlist AI,,
mectrics,,
Poth Labs,,
DepthData,,
Halo by Scam AI,,
witr,,
Customer.io Summer Release,,
Screencap,,
Gemini Robotics 2,,
