id	name	slug	domain	contact_email	linkedin_url
4752	ChatOtter	chatotter	chatotter.ai	contact@chatotter.ai	https://www.linkedin.com/company/chatotter/
4758	Le Gantt	le-gantt	legantt.com	hello@legantt.com	
4759	Kris Racette	kris-racette	krisracette.me	kris@executivemind.io	https://www.linkedin.com/in/krisracette/
4761	Consile App	consile-app	consile.app	support@consile.app	https://www.linkedin.com/company/consile-app/
4762	Planned	planned	getitplanned.com	support@getitplanned.com	https://www.linkedin.com/in/mattschuberg/
4764	FocusFlow: Focus &amp; Habit Timer	focusflow-focus-amp-habit-timer	corelumetech.in	contact@corelumetech.in	
4765	GridLeap	gridleap	gridleap.vercel.app	gridleap@proton.me	
4766	LinkFilo	linkfilo	linkfilo.vercel.app	contact@dnnengineer.com	
4767	Automation ROI Calculator	automation-roi-calculator	tinyopsstudio.com	support@tinyopsstudio.com	
4768	Serviceinvoice	serviceinvoice	serviceinvoice.site	hello@callowayplumbing.co	
4769	Kogvio	kogvio	kogvio.com	kogvio.team@gmail.com	
4771	AgentWatch	agentwatch	agent-watch.dev	hello@agent-watch.dev	https://www.linkedin.com/company/agent-watch-dev/
4772	Screen2ipcam	screen2ipcam	magicweb.win	support@magicweb.win	
4773	Traviary	traviary	traviary.online	support@ittailors.cz	
4777	JobDiscovery	jobdiscovery	jobdiscovery.in	support@jobdiscovery.in	
4780	TRY AIDR	try-aidr	tryaidr.com	hello@tryaidr.com	
4785	Lumli	lumli	lumli.io	support@lumli.io	
4789	BackDrop_	backdrop	sublimearts.io	hello@sublimearts.io	
4790	onsubmit.dev	onsubmitdev	onsubmit.dev	hello@onsubmit.dev	
4791	Naxely	naxely	naxely.com	hello@naxely.com	https://www.linkedin.com/company/naxely-app/
4794	Blume Health Co	blume-health-co	blumehealthco.com	support@blumehealthco.com	https://www.linkedin.com/company/blumehealthco/
4797	Ruvkgo - Route Optimizer	ruvkgo-route-optimizer	ruvkgo.com	ruvkgo@gmail.com	
4798	EchoWrite	echowrite	echowrite.co.uk	hello@echowrite.co.uk	
4804	ContractRev	contractrev	contractrev.com	support@contractrev.com	
4807	build a hooper	build-a-hooper	buildhooper.com	report@buildhooper.com	
4808	7-0 game	7-0-game	7-0.pro	report@7-0.pro	
4809	vexle	vexle	vexle.pro	report@vexle.pro	
4810	The Promptists	the-promptists	thepromptists.com	support@thepromptists.com	https://www.linkedin.com/company/the-promptists-by-ohneis/
4814	Discotive	discotive	discotive.com	officialkeshavbansal@gmail.com	https://www.linkedin.com/company/discotive/
4815	StrikeWright	strikewright	strikewright.com	strikewrightapp@gmail.com	
4816	MentorWise AI - Free AI Career Arsenal	mentorwise-ai-free-ai-career-arsenal	mentorwiseaiedtechservice.lovable.app	mentorwiseaiedtech@gmail.com	https://www.linkedin.com/in/mohammed-faizal-m-b3242b311/
4818	Minha Historia	minha-historia	minhahistoria.pt	apoio@minhahistoria.pt	
4820	MyTrendSphere	mytrendsphere	mytrendsphere.com	contact@mytrendsphere.com	
4823	imagic	imagic	imagic.ink	help@imagic.ink	
4824	TopScorer	topscorer	top-scorers.com	support@top-scorers.com	
4827	TimezoneMatcher	timezonematcher	timezonematcher.com	hello@timezonematcher.com	
4829	DeathVault	deathvault	deathvault.app	hello@deathvault.app	
4830	multichain-tax-mcp	multichain-tax-mcp	multichain-tax-mcp.vercel.app	support@wkalidev.com	
4835	Bulk Bag Manufacturers | BEEL Bags	bulk-bag-manufacturers-beel-bags	beelbags.in	sales@beelbags.in	https://www.linkedin.com/company/beel-bags/
4836	khanxtools	khanxtools	khanxtools.com	contact@khanxtools.com	
4837	Domain Search King	domain-search-king	domainsearchking.com	hello@domainsearchking.com	
4838	WritersLock	writerslock	getwriterslock.com	devin@getwriterslock.com	
4839	Fiiuno	fiiuno	fiiuno.com	hello@fiiuno.com	https://www.linkedin.com/company/fiiuno/
4840	Biryani Battery Reminder	biryani-battery-reminder	biryani-battery-reminder.vercel.app	coder52057@gmail.com	
4841	CSV Viewer	csv-viewer	csv-viewer.online	jeanmagne.dev@gmail.com	
4844	Game of Fives	game-of-fives	gameoffives.com	starbellydesigns@gmail.com	
4850	trisAino	trisaino	trisaino.com	info@trisaino.com	
4851	Scriptio	scriptio	scriptio.in	contact@scriptio.in	https://www.linkedin.com/in/prathap-contentstrategist/
4852	RecordFlow	recordflow	recordflow.org	security@recordflow.org	
4858	Badge Issuer	badge-issuer	badgeissuer.com	hello@badgeissuer.com	
4859	Noteithub	noteithub	noteithub.com	info@apporify.com	
4865	Fixzi	fixzi	fixzi.ai	contact@fixzi.ai	
4868	Dang!	dang	dangcontracts.com	support@dangcontracts.com	
4869	VTubeMe	vtubeme	vtubeme.com	support@vtubeme.com	
4871	Penetrify.cloud	penetrifycloud	penetrify.cloud	info@penetrify.cloud	
4879	Youfiliate	youfiliate	youfiliate.com	andrew@youfiliate.com	
4881	Pallix	pallix	pallix.in	akash@pallix.in	https://www.linkedin.com/company/pallix-india/
4883	Writelo	writelo	writelo.io	dushin.egor.dm@yandex.ru	
4884	Scale Intelligence	scale-intelligence	scaleintelligence.dev	hello@scaleintelligence.dev	https://www.linkedin.com/in/romejgeorgio/
4887	Lumora Storybooks	lumora-storybooks	lumora.kids	hello@lumora.kids	
4888	Kit Ventas en 24h	kit-ventas-en-24h	kit-ventas-24h.santoshpandita836517.chatgpt.site	leogamerh8@gmail.com	
4889	Leumos AI	leumos-ai	leumos.ai	studio@leumos.ai	
4890	RunSolo	runsolo	runsolo.io	runsolo.team@gmail.com	https://www.linkedin.com/company/runsolo/
4894	WinkView	winkview	winkview.com	hello@winkview.com	
4895	Roast &amp; Review	roast-amp-review	roast-and-review.com	contact@roast-and-review.com	
4898	Mydentify	mydentify	mydentify.com	hello@mydentify.com	https://www.linkedin.com/in/TimAllard/
4902	AI Couple	ai-couple	aicouple.org	support@aicouple.org	
4904	Harco	harco	harco.ai	hello@harco.ai	https://www.linkedin.com/company/harco-ai/
4905	LocalHero Free Local SEO Audit	localhero-free-local-seo-audit	localhero.live	info@localhero.live	https://www.linkedin.com/company/local-hero-live/
4908	Brieform	brieform	brieform.app	dany@brieform.app	https://www.linkedin.com/company/brieform/
4909	ShareOtter	shareotter	shareotter.com	mohit@shareotter.com	https://www.linkedin.com/company/shareotter/
4913	AI Finance Tools	ai-finance-tools	aifinancetools.co	hello@aifinancetools.co	
4915	ResuAI	resuai	resuai.co	support@resuai.co	https://www.linkedin.com/company/resuai/
4917	IndexMyURL	indexmyurl	indexmyurl.com	hello@indexmyurl.com	https://www.linkedin.com/company/indexmyurl/
4918	Upwork Wizz	upwork-wizz	upworkwizz.com	hello@proposal.upworkwizz.com	
4919	Grow Creator	grow-creator	growcreator.pro	hello@growcreator.pro	
4921	What Is This Movie	what-is-this-movie	whatisthismovie.com	support@whatmovieisthis.com	
4922	FortuneTellerOnline	fortunetelleronline	fortunetelleronline.org	support@fortunetelleronline.org	
5026	Image Upscaler	image-upscaler	imgupscaler.com	support@imgupscaler.com	
5028	AnyWebP	anywebp	anywebp.com	support@anywebp.com	
5029	Bg Eraser	bg-eraser	bgeraser.com	support@bgeraser.com	
5187	FormPilot	formpilot	formpilot.co.in	virbhadra1304@gmail.com	
5188	OPENFATE AI	openfate-ai	openfate.ai	hi@openfate.ai	
5191	TenDNA	tendna	tendna.com	support@tendna.com	https://www.linkedin.com/company/tendna/
5194	CallPrep	callprep	callprep.app	support@callprep.app	
5196	Botric AI	botric-ai	botric.ai	hello@botric.ai	https://www.linkedin.com/company/botric-ai/
5197	Reactorcore Games	reactorcore-games	reactorcoregames.github.io	reactorcoregames@gmail.com	
5198	Sayora	sayora	sayora.ai	hi@sayora.ai	https://www.linkedin.com/in/takeajander/
5201	PrismPoster	prismposter	prismposter.com	support@prismposter.com	https://www.linkedin.com/company/prismposter/
5205	ResearchMaster AI	researchmaster-ai	researchmaster.ai	support@researchmaster.ai	
5207	Qoro	qoro	qoro.cc	hello@qoro.cc
